Price_signal,Price_profile,Price_level,Hour,Experiment_price_NOK_kWh
P0_10,P0,10,10,0
P0_10,P0,10,11,0
P0_10,P0,10,12,0
P0_10,P0,10,13,0
P0_10,P0,10,14,0
P0_10,P0,10,15,0
P0_10,P0,10,16,0
P0_10,P0,10,17,9.95
P0_10,P0,10,18,10.05
P0_10,P0,10,19,0
P0_10,P0,10,20,0
P0_10,P0,10,21,0
P0_10,P0,10,22,0
P0_10,P0,10,23,0
P0_10,P0,10,24,0
P_15,P,15,1,1
P_15,P,15,2,0.99
P_15,P,15,3,0.95
P_15,P,15,4,0.95
P_15,P,15,5,0.96
P_15,P,15,6,1
P_15,P,15,7,1
P_15,P,15,8,1.02
P_15,P,15,9,1.04
P_15,P,15,10,1.03
P_15,P,15,11,1.02
P_15,P,15,12,1.01
P_15,P,15,13,1.06
P_15,P,15,14,1.06
P_15,P,15,15,1.09
P_15,P,15,16,1.2
P_15,P,15,17,14.925
P_15,P,15,18,15.075
P_15,P,15,19,1.2
P_15,P,15,20,1.1
P_15,P,15,21,1.1
P_15,P,15,22,1.1
P_15,P,15,23,1.06
P_15,P,15,24,1
P_2,P,2,1,1
P_2,P,2,2,0.99
P_2,P,2,3,0.95
P_2,P,2,4,0.95
P_2,P,2,5,0.96
P_2,P,2,6,1
P_2,P,2,7,1
P_2,P,2,8,1.02
P_2,P,2,9,1.04
P_2,P,2,10,1.03
P_2,P,2,11,1.02
P_2,P,2,12,1.01
P_2,P,2,13,1.06
P_2,P,2,14,1.06
P_2,P,2,15,1.09
P_2,P,2,16,1.2
P_2,P,2,17,1.99
P_2,P,2,18,2.01
P_2,P,2,19,1.2
P_2,P,2,20,1.1
P_2,P,2,21,1.1
P_2,P,2,22,1.1
P_2,P,2,23,1.06
P_2,P,2,24,1
P0_2,P0,2,1,0
P0_2,P0,2,2,0
P0_2,P0,2,3,0
P0_2,P0,2,4,0
P0_2,P0,2,5,0
P0_2,P0,2,6,0
P0_2,P0,2,7,0
P0_2,P0,2,8,0
P0_2,P0,2,9,0
P0_2,P0,2,10,0
P0_2,P0,2,11,0
P0_2,P0,2,12,0
P0_2,P0,2,13,0
P0_2,P0,2,14,0
P0_2,P0,2,15,0
P0_2,P0,2,16,0
P0_2,P0,2,17,1.99
P0_2,P0,2,18,2.01
P0_2,P0,2,19,0
P0_2,P0,2,20,0
P0_2,P0,2,21,0
P0_2,P0,2,22,0
P0_2,P0,2,23,0
P0_2,P0,2,24,0
P0_30,P0,30,1,0
P0_30,P0,30,2,0
P0_30,P0,30,3,0
