ID,Q_Age,Q_Gender,Q_City,Q1,Q4,Q7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q24,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28,Q29,Q32,Percentage_Change
174,75,2,4,1,2,2,0,1,1,0,0,0,0,0,0,0,0,2,2,9,1,6,5,2,4,4,1,1,0,0,0,0,0,0,0,0,0,6,2,6,-6.53627388873913
175,62,1,5,1,2,2,0,0,1,0,1,0,0,0,0,0,0,1,2,4,2,6,3,5,2,7,1,1,0,0,0,1,1,0,0,0,0,1,2,1,-21.078045142121027
180,69,1,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,5,1,8,1,6,4,3,2,8,1,0,1,0,0,0,0,0,0,0,0,1,1,1,-4.1044886698172744
190,69,1,5,1,5,1,1,1,0,1,0,0,1,0,0,0,0,1,2,4,2,6,4,3,3,7,1,1,1,0,0,1,0,0,0,0,0,1,2,2,-22.076080732084225
191,59,1,5,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,2,8,1,3,4,7,4,3,2,1,0,0,0,0,0,1,0,0,0,1,2,6,-34.494226452892185
194,68,1,4,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,6,2,2,5,5,2,4,1,1,1,1,0,1,0,0,0,0,0,1,2,1,-25.000821795223093
195,61,1,4,1,1,2,1,1,1,0,1,0,0,0,0,0,0,1,1,3,2,6,5,7,1,9,1,1,0,1,0,1,0,0,0,0,0,1,2,1,-8.973312791435994
196,69,2,4,2,5,3,0,0,0,0,0,0,0,0,0,0,1,3,2,7,2,6,4,5,4,5,1,0,0,0,0,0,0,1,0,0,0,4,2,2,19.31414751012561
205,84,1,4,1,3,2,0,1,0,0,1,0,0,0,0,0,0,1,2,4,1,6,5,6,3,6,1,0,1,0,0,1,0,0,0,0,0,4,2,2,35.485443851877285
207,59,1,4,1,3,1,1,1,1,1,0,0,0,0,0,0,0,4,1,6,1,6,5,4,4,4,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-52.50174769103735
210,55,1,4,2,4,3,1,0,0,1,0,1,0,0,0,0,0,1,3,5,1,6,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,4,2,4,-10.754217841711167
215,88,2,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1,6,5,2,4,2,2,1,0,0,0,0,0,0,0,0,0,1,2,1,-16.89279836064923
221,85,2,4,1,2,1,1,1,0,0,0,1,1,0,0,0,0,1,1,5,1,5,5,2,3,4,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-11.355369966423556
225,77,2,4,1,4,2,1,1,1,1,0,1,1,0,0,0,0,1,2,6,1,6,3,7,4,7,1,1,1,0,0,0,0,0,0,0,0,1,2,2,-14.960098266680877
226,79,2,4,2,5,2,1,1,0,0,0,0,0,0,0,0,0,1,1,6,1,6,4,7,4,5,1,1,1,0,0,1,0,0,0,0,0,1,2,6,-8.309914554445253
229,68,2,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,6,1,3,5,7,4,8,1,0,0,0,1,0,0,0,0,0,0,2,2,1,43.785908906485815
232,70,1,4,2,5,3,1,1,1,0,0,0,0,0,0,0,0,1,2,5,2,5,5,6,4,6,1,0,1,0,0,0,0,1,0,0,0,4,1,2,16.553948971547115
249,68,2,4,1,4,1,1,0,0,0,0,1,1,0,0,0,0,1,2,4,2,4,5,5,4,6,1,1,1,0,0,0,0,1,0,0,0,4,2,1,33.70595878381024
257,71,1,4,1,5,2,1,1,1,0,0,0,0,0,0,0,0,1,2,5,1,6,4,2,4,5,1,1,0,0,0,0,0,0,0,0,0,1,2,1,-28.726401338969787
260,69,1,4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,2,4,2,6,5,5,4,6,1,1,0,0,0,0,0,0,0,0,0,4,1,1,-22.010677636491238
262,68,1,5,1,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,5,2,6,3,3,4,7,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-20.47802412835673
265,77,1,4,1,2,2,1,0,1,0,0,0,0,0,0,0,0,4,1,5,2,4,5,4,4,7,1,1,0,0,0,0,0,0,0,0,0,5,1,1,-5.319354193589443
266,60,2,5,1,5,2,1,0,1,1,0,0,0,0,0,0,0,2,2,5,1,6,4,2,4,2,2,1,0,0,0,0,0,0,0,0,0,4,2,1,-4.603336393585844
268,50,2,4,1,5,2,1,0,0,0,0,0,0,0,0,0,0,2,2,4,1,2,5,3,4,2,1,0,0,0,0,0,0,1,0,0,0,4,2,1,-11.200814311323848
269,78,2,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,2,4,1,6,3,2,4,4,1,0,0,0,1,0,0,0,0,0,0,2,2,1,-20.248700283682442
275,70,1,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,8,1,6,5,2,4,2,2,0,0,0,0,0,1,0,0,0,0,4,2,2,20.031149033908658
288,63,1,4,2,4,3,1,1,0,0,0,0,0,0,0,0,0,2,3,7,2,6,3,7,4,4,1,1,1,0,0,0,0,0,0,0,0,1,2,6,-35.852104240176686
294,72,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,6,4,7,4,6,1,1,0,0,0,0,0,0,0,0,0,5,2,1,-36.19585840154224
299,62,1,4,1,4,2,0,0,0,0,0,0,0,0,0,1,0,1,2,7,1,6,5,7,5,2,2,0,0,0,0,0,0,0,0,1,0,1,2,5,-15.204171530792143
300,80,1,4,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,2,4,2,6,3,4,1,9,1,0,0,1,0,0,0,0,0,0,0,2,2,1,-3.805735924124376
301,75,1,4,1,5,3,0,0,1,0,0,0,0,0,0,0,0,2,2,5,2,1,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,4,2,6,15.027653344170266
305,69,1,4,2,5,2,1,1,0,0,0,1,1,0,0,0,0,1,1,9,2,4,5,5,1,9,1,1,0,0,0,0,0,1,0,0,0,4,1,1,-25.440529297849245
306,70,1,4,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,9,1,6,4,1,3,3,1,0,1,0,0,1,0,0,0,0,0,1,2,1,-10.195536672328176
312,66,2,4,2,5,3,0,0,0,0,0,0,0,0,0,0,1,1,2,9,1,6,3,2,4,6,1,1,1,0,0,0,0,0,0,0,0,4,2,6,50.41095038337167
314,52,1,5,1,4,2,1,0,1,1,0,0,0,0,0,0,0,1,2,4,5,6,5,6,1,9,1,1,0,0,0,1,0,0,0,0,0,1,1,1,-14.963592626136645
327,68,1,4,1,2,2,1,1,1,1,0,1,0,0,0,0,0,2,1,5,2,5,5,6,4,6,1,1,0,0,0,0,0,0,0,0,0,4,1,1,36.618076528547675
331,69,2,4,2,2,2,0,1,0,0,0,1,1,0,0,0,0,1,1,6,2,5,5,5,1,9,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-21.17494617448097
332,70,2,4,2,4,2,0,0,0,0,0,0,0,0,0,1,0,2,2,5,2,6,4,4,4,5,1,1,0,0,0,0,0,0,0,0,0,4,1,3,11.141467975020136
334,53,2,4,1,4,2,1,0,0,0,0,0,0,0,0,0,0,3,2,6,2,5,4,3,4,6,1,0,1,0,0,0,0,1,0,0,0,4,2,3,-15.272957173304036
341,77,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,5,4,3,4,1,1,0,0,0,1,0,0,0,0,0,1,2,1,-10.612539790727615
344,70,1,4,1,1,2,1,1,0,0,1,0,0,0,0,0,0,1,2,2,1,6,4,2,4,4,1,1,1,0,0,1,0,0,0,0,0,4,2,1,3.9966738289533232
346,76,1,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,2,2,9,2,6,3,3,4,6,1,1,0,0,0,0,0,0,0,0,0,1,2,1,55.09445322806914
347,68,1,5,1,2,2,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,5,3,4,4,5,1,0,1,1,0,0,0,0,0,0,0,4,1,1,2.7910593642325843
350,74,2,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,6,4,8,4,6,1,1,1,0,0,1,0,0,0,0,0,1,2,1,5.709435844654376
366,71,1,4,1,4,2,1,1,0,1,0,0,0,0,0,0,0,2,2,4,2,6,4,4,3,8,1,1,0,0,0,1,0,0,0,0,0,1,1,2,-5.88919309697411
376,58,1,4,2,5,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,4,3,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,2,-46.924362987989035
385,84,1,4,2,5,2,1,0,1,0,0,0,0,0,0,0,0,1,1,9,1,6,3,2,3,6,2,1,0,0,0,0,0,0,0,0,0,6,2,6,-4.957396812095672
389,88,1,4,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,6,5,7,3,8,1,1,0,1,0,1,0,0,0,0,0,1,2,1,-63.90548504288549
391,61,1,4,1,3,3,0,0,0,0,0,0,1,0,1,0,0,2,2,8,1,6,4,7,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,1,1.8884110050888525
392,60,2,4,2,4,2,0,1,0,1,0,1,0,0,0,0,0,2,3,4,2,3,4,5,3,5,1,0,0,0,0,0,0,1,0,0,0,4,2,1,-21.02814865642566
394,66,1,4,1,4,2,0,0,1,0,0,0,0,0,0,0,0,1,2,5,1,5,4,6,4,6,1,0,0,0,0,0,0,1,0,0,0,4,2,2,9.463559807457166
397,71,1,4,2,5,3,1,0,0,0,0,0,0,0,0,0,0,2,2,8,2,6,4,8,4,7,1,0,0,0,0,0,0,1,0,0,0,4,2,1,-28.654045461056597
398,78,1,5,1,2,1,1,1,0,1,0,1,0,0,0,0,0,2,1,6,3,6,5,7,3,7,1,1,1,1,0,1,0,0,0,0,0,1,2,1,-15.890875105726865
402,51,2,4,1,4,2,1,1,0,0,0,1,1,0,0,0,0,1,1,7,3,6,5,3,4,5,1,1,0,0,0,1,0,0,0,0,0,1,2,2,-10.246239319646255
404,57,1,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,5,1,1,3,3,4,3,1,1,1,0,0,0,0,0,0,0,0,1,2,1,-21.624590189910332
428,61,2,4,1,5,2,1,1,0,0,0,0,0,0,0,0,0,2,2,8,2,4,5,6,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,1,-11.357966520671535
433,60,2,4,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,2,5,1,5,4,7,3,6,1,1,0,0,0,1,0,0,0,0,0,1,2,1,-2.661895809398418
437,72,2,4,2,3,3,1,0,0,0,0,0,1,0,0,0,0,2,2,5,2,6,4,4,4,5,1,0,0,0,0,0,0,1,0,0,0,4,2,6,-20.276414813126962
441,64,1,5,1,4,2,1,0,0,0,0,0,0,0,0,0,0,5,2,1,2,1,4,5,1,9,1,0,1,1,0,0,0,0,0,0,0,1,2,2,-12.339120097507884
444,62,1,4,1,2,2,0,0,0,0,0,0,0,0,0,1,0,3,2,6,1,5,3,2,3,2,2,0,1,0,0,0,0,0,0,0,0,1,2,1,-15.058345330336632
447,71,1,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2,5,2,6,5,4,3,8,1,1,1,0,0,0,0,0,0,0,0,1,1,1,-8.226019991434352
450,73,2,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,4,1,6,4,2,4,3,1,0,0,1,0,0,0,0,0,0,0,1,2,1,-19.24642018678445
451,38,2,4,1,5,2,1,1,1,1,0,0,0,0,0,0,0,2,2,6,2,6,4,5,2,8,1,1,1,1,0,1,0,0,0,0,0,1,1,2,-21.312400966235245
454,77,2,4,1,5,3,0,1,0,0,0,1,1,0,0,0,0,2,1,6,2,6,4,3,4,6,1,1,0,0,0,1,0,0,0,0,0,4,2,1,-33.08896877554768
455,75,1,4,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,2,3,2,2,3,4,3,6,1,1,1,0,0,1,0,0,0,0,0,1,2,2,-26.17168328171272
460,79,1,5,1,5,3,0,1,1,1,0,0,0,0,0,0,0,1,3,9,2,6,5,3,1,7,1,1,1,0,0,1,0,0,0,0,0,6,2,2,-22.529299476095666
465,58,2,5,1,1,2,1,1,0,0,1,1,1,0,0,0,0,3,1,6,1,3,5,3,1,7,1,1,1,0,0,0,0,0,0,0,0,1,2,1,-15.828388014796591
466,66,1,4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,9,1,3,5,3,4,6,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-53.58841823837377
467,81,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,2,5,3,5,1,7,1,1,0,1,0,1,0,0,0,0,0,1,1,1,-1.3495799949128306
470,72,1,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,3,2,6,5,6,3,7,1,1,1,0,0,1,0,0,0,0,0,1,1,1,-14.206518842566174
472,61,2,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2,6,1,1,5,3,4,5,1,0,1,0,0,1,0,0,0,0,0,1,2,1,-5.160581366445149
478,67,2,4,2,4,2,0,0,1,0,1,0,0,0,0,0,0,2,2,9,1,5,4,7,4,5,1,0,0,0,0,0,0,1,0,0,0,4,2,6,1.989239426904632
483,50,2,4,1,1,1,1,0,1,1,1,0,1,0,0,0,0,2,2,9,5,7,5,7,1,9,1,1,1,0,0,0,0,0,0,0,0,1,1,6,-8.947864326713129
495,78,1,5,2,5,2,1,0,0,0,0,1,0,0,0,0,0,2,3,4,2,6,5,2,3,8,1,1,0,1,0,1,0,0,0,0,0,1,2,6,1.4696473277160393
498,65,1,5,2,3,3,0,0,1,0,1,0,0,0,0,0,0,1,1,4,2,6,3,5,4,4,1,0,0,1,0,0,0,0,0,0,0,3,2,1,-1.155026389799041
501,64,2,4,1,4,2,1,1,1,0,0,1,0,0,0,0,0,2,2,4,1,1,3,7,4,3,2,1,0,0,0,0,0,0,0,0,0,1,2,2,-22.767497301613137
512,52,2,4,1,2,2,1,0,0,0,0,1,0,0,0,0,0,3,2,5,3,1,5,6,1,9,1,1,1,0,0,1,0,0,0,0,0,1,1,2,-3.0438063932437864
520,76,1,4,1,4,2,0,1,1,0,0,0,0,0,0,0,0,2,2,3,1,6,5,3,4,5,2,0,0,0,0,0,0,1,0,0,0,4,2,2,-11.300356289264535
531,72,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,4,2,6,3,7,4,5,1,1,0,0,0,0,0,0,0,0,0,1,2,3,-31.022723025119568
538,26,2,4,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,1,6,2,5,3,1,5,5,2,1,0,0,0,0,0,0,0,0,0,4,2,6,-4.378938801804322
561,67,1,5,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2,1,6,2,6,4,5,2,7,1,0,1,0,0,1,0,0,0,0,0,1,2,1,-30.14395302310109
562,67,2,4,1,2,2,1,1,1,0,0,1,0,0,0,0,0,1,1,4,2,5,3,2,3,6,1,1,1,0,0,0,0,0,0,0,0,1,2,3,6.386379409751952
565,62,2,5,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,2,7,1,3,5,2,4,5,1,1,1,0,0,0,0,0,0,0,0,1,2,1,-52.21615691539589
571,60,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,5,2,6,3,5,1,8,1,0,1,1,0,1,0,0,0,0,0,1,1,1,-16.998997468275302
573,66,2,4,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1,2,6,1,1,3,3,4,4,1,0,0,0,1,0,0,0,0,0,0,2,2,1,-41.66896428690744
579,66,1,4,1,2,1,1,0,1,0,1,1,1,0,0,0,0,1,1,4,2,6,4,6,4,8,1,1,1,0,0,1,0,0,0,0,0,1,1,1,-14.143768634811904
583,67,1,5,1,3,2,1,0,0,0,0,0,0,0,0,0,0,2,1,5,2,6,5,6,4,6,1,0,0,0,0,0,0,1,0,0,0,4,2,1,-2.1820633721901572
585,76,2,5,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,4,1,6,4,7,3,6,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1.57278350911485
595,71,1,5,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,5,2,6,3,5,4,6,1,1,1,0,0,0,0,0,0,0,0,1,1,2,-19.27812135973722
597,68,1,4,1,5,2,1,1,1,0,0,0,0,0,0,0,0,3,1,5,2,5,5,6,4,6,1,1,0,0,0,0,1,0,0,0,0,4,1,2,-14.629102676775485
598,65,2,4,1,5,3,0,1,1,0,0,0,0,0,0,0,0,1,3,5,2,5,5,6,4,5,1,1,1,0,0,0,0,0,0,0,0,1,2,6,1.0623932068558828
599,53,2,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,8,1,6,5,8,4,3,1,1,0,0,0,0,0,0,0,0,0,4,2,1,-91.33531855101754
609,65,2,4,1,2,2,1,0,0,1,0,0,0,0,0,0,0,1,2,5,1,6,3,2,4,5,1,1,0,0,0,0,0,0,0,0,0,4,2,1,-12.514961791714585
612,68,1,5,1,5,3,1,0,1,0,0,0,0,0,0,0,0,2,3,4,2,6,4,5,1,9,1,0,1,1,0,1,0,0,0,0,0,1,2,3,10.328649658051138
613,54,1,4,1,3,2,1,1,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,5,3,5,1,1,0,1,0,0,0,0,0,0,0,1,2,1,-16.78330971888289
620,77,1,5,1,5,2,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,5,3,5,4,2,1,1,0,0,0,0,0,0,1,0,1,2,2,-6.136835583183952
631,42,2,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,6,2,4,5,3,4,4,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-32.76173023240022
637,65,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,4,7,3,8,1,0,1,1,0,1,0,0,0,0,0,1,2,1,-3.7982028543799506
641,56,2,4,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,9,6,4,3,5,3,7,1,0,0,1,0,1,0,0,0,0,0,1,2,1,-41.04816717935634
642,66,1,4,2,5,2,1,0,1,1,1,1,0,0,0,0,0,1,2,6,4,1,5,6,1,9,1,0,0,0,1,0,0,0,0,0,0,2,1,1,-27.3449054079579
643,53,2,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,8,2,6,5,3,5,3,2,1,1,0,0,0,0,0,0,0,0,4,2,1,-28.906340609750046
647,58,1,4,2,4,2,1,0,0,0,0,1,1,0,0,0,0,2,1,5,1,2,5,3,4,5,1,0,0,0,0,0,0,0,1,0,0,4,2,6,21.131105698719367
650,66,1,5,1,3,1,1,0,1,1,0,0,0,0,0,0,0,2,2,7,2,1,5,4,4,4,1,1,1,0,0,0,0,0,0,0,0,1,2,1,65.35471423581463
660,60,2,4,1,5,2,1,0,0,0,0,0,0,0,0,0,0,1,1,6,2,3,3,5,4,6,1,1,0,0,0,0,0,0,0,0,0,4,1,1,9.868288703847883
669,73,1,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,2,1,7,1,6,4,1,4,3,1,1,1,0,0,0,0,0,0,0,0,1,2,1,-8.402532225617232
670,82,1,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,5,2,3,4,7,3,8,1,1,1,0,0,1,0,0,0,0,0,1,1,1,-17.120475151355365
671,63,2,4,1,5,1,1,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,4,3,4,5,1,1,0,0,0,1,0,0,0,0,0,4,2,1,-33.66603557621768
676,80,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,5,6,4,7,1,1,0,0,0,0,0,0,0,1,0,1,1,1,25.673068815865907
682,70,1,4,1,3,2,1,0,0,0,0,1,0,0,0,0,0,2,2,3,1,6,4,2,4,4,1,1,1,0,0,1,0,0,0,0,0,4,2,2,-28.6151642655586
687,55,1,5,1,5,3,0,0,0,0,0,0,0,0,0,1,0,6,2,7,3,3,3,3,1,9,1,0,1,1,0,0,0,0,0,0,0,1,2,6,-9.565788836529398
