Household_ID,Percentage_Change
18,-58.78952342108763
23,-22.62219370994768
30,-82.80308663365791
31,-8.944713087269607
34,-16.70203243396169
39,-2.2124434866731546
44,-4.687607044459319
50,3.7305918202902744
61,-8.134126082880243
62,-58.31742233510431
63,-4.926633018656734
64,2.6117162948979145
67,-13.19667173637863
68,-6.709331052535273
70,-12.843793266954984
72,-20.878985692146056
75,-19.18517764413191
76,-17.335254975261915
85,-25.334464228472896
88,14.872787062537274
92,-1.9458210253598174
96,-41.80654466845415
100,-34.92070225970358
107,-18.569882846205754
109,-16.009838465403103
115,4.485625734393217
119,-19.83071460860961
133,5.19300566483103
134,15.425261519281008
135,-6.728757738997837
142,2.7017543266201205
149,-19.61221187578911
150,-13.79847457579726
157,-9.98464496642959
167,-29.628596322157975
170,-13.785907713021627
174,-6.53627388873913
175,-21.078045142121027
180,-4.1044886698172744
190,-22.076080732084225
191,-34.494226452892185
194,-25.000821795223093
195,-8.973312791435994
196,19.31414751012561
205,35.485443851877285
207,-52.50174769103735
210,-10.754217841711167
215,-16.89279836064923
221,-11.355369966423556
225,-14.960098266680877
226,-8.309914554445253
229,43.785908906485815
232,16.553948971547115
249,33.70595878381024
257,-28.726401338969787
260,-22.010677636491238
262,-20.47802412835673
265,-5.319354193589443
266,-4.603336393585844
268,-11.200814311323848
269,-20.248700283682442
275,20.031149033908658
288,-35.852104240176686
294,-36.19585840154224
299,-15.204171530792143
300,-3.805735924124376
301,15.027653344170266
305,-25.440529297849245
306,-10.195536672328176
312,50.41095038337167
314,-14.963592626136645
327,36.618076528547675
331,-21.17494617448097
332,11.141467975020136
334,-15.272957173304036
341,-10.612539790727615
344,3.9966738289533232
346,55.09445322806914
347,2.7910593642325843
350,5.709435844654376
366,-5.88919309697411
376,-46.924362987989035
385,-4.957396812095672
389,-63.90548504288549
391,1.8884110050888525
392,-21.02814865642566
394,9.463559807457166
397,-28.654045461056597
398,-15.890875105726865
402,-10.246239319646255
404,-21.624590189910332
428,-11.357966520671535
433,-2.661895809398418
437,-20.276414813126962
441,-12.339120097507884
444,-15.058345330336632
447,-8.226019991434352
450,-19.24642018678445
451,-21.312400966235245
454,-33.08896877554768
455,-26.17168328171272
460,-22.529299476095666
465,-15.828388014796591
466,-53.58841823837377
467,-1.3495799949128306
470,-14.206518842566174
472,-5.160581366445149
478,1.989239426904632
483,-8.947864326713129
495,1.4696473277160393
498,-1.155026389799041
501,-22.767497301613137
512,-3.0438063932437864
520,-11.300356289264535
531,-31.022723025119568
538,-4.378938801804322
561,-30.14395302310109
562,6.386379409751952
565,-52.21615691539589
571,-16.998997468275302
573,-41.66896428690744
579,-14.143768634811904
583,-2.1820633721901572
585,1.57278350911485
595,-19.27812135973722
597,-14.629102676775485
598,1.0623932068558828
599,-91.33531855101754
609,-12.514961791714585
612,10.328649658051138
613,-16.78330971888289
620,-6.136835583183952
631,-32.76173023240022
637,-3.7982028543799506
641,-41.04816717935634
642,-27.3449054079579
643,-28.906340609750046
647,21.131105698719367
650,65.35471423581463
660,9.868288703847883
669,-8.402532225617232
670,-17.120475151355365
671,-33.66603557621768
676,25.673068815865907
682,-28.6151642655586
687,-9.565788836529398
690,-9.861307111018625
692,20.714271330681242
694,-0.7811636777091624
696,5.517346489823094
698,-44.26390763646055
706,-20.586652658900285
707,-1.6942862095749245
709,-19.008446843481074
712,-26.350211204982777
716,-35.533371159691086
739,-44.149960742342095
740,-26.057744448996267
743,-7.981683475495382
745,-27.80770064082413
756,0.6108916378001483
758,-10.486065379037058
773,-12.498765085916597
777,-26.100300095678264
798,-20.444926763617865
802,-17.960399235282555
804,-41.342258783724894
809,-10.801283424936015
821,-24.5793908640789
827,-4.252467051452403
829,-96.4897550092425
846,-26.12685074454779
847,-16.317177639114067
850,-34.02906452519916
851,-15.774207733076405
855,-13.282094056713923
870,-23.62192009140133
871,-46.47888006531659
874,-78.68859425155881
877,-16.094703741620776
884,-2.4573124671112168
894,-31.943525397061066
901,-16.31732375366719
902,-0.11140628766362903
910,-14.275192712486485
928,-22.6944981293413
930,-40.72426634039196
935,-28.15054141853002
945,-1.405474544132146
947,6.631557326528181
952,-34.02906452519916
953,6.016408113680205
954,-9.338342868976579
976,-15.37835710829828
979,13.502436785196537
999,41.71100318389125
1001,-19.843552820641143
1004,-28.260890175237698
1030,-9.78750939766787
1034,-7.019721553135327
1037,-60.57119266250477
1046,-48.644242692573016
1048,6.181163678962953
1049,-15.721182231734886
1053,-24.09092980765407
1059,-15.266576607176674
1062,1.4774625394008867
1064,-3.6130315232961507
1071,-3.996157208140849
1081,-21.364533079441372
1090,-27.850899608269366
1097,-30.119557090350103
1099,-17.07925689010079
