ID,Pre_kWh,Post_kWh,kWh_Difference,Pct_Change,Change_Type
829,0.06110866916252605,0.013234986449244425,-0.04787368271328163,-96.4897550092425,Reduced
7195,0.14659543876812905,0.05564195576015873,-0.09095348300797032,-95.50581513927952,Reduced
599,0.24145237724796317,0.08397204290499227,-0.1574803343429709,-91.33531855101754,Reduced
4036,0.30139262398139977,0.1299501728078771,-0.17144245117352266,-90.98039604147424,Reduced
2744,0.37640346743595493,1.1876140958022443,0.8112106283662894,-85.32339189999733,Reduced
6469,0.28385296575258334,0.23201699335463705,-0.051835972397946295,-82.93153792318127,Reduced
30,0.7044265993114538,0.6149701254953197,-0.08945647381613409,-82.80308663365791,Reduced
5154,0.10764998718127042,0.0652993952486201,-0.04235059193265031,-81.83603578928341,Reduced
1185,0.44788610449309507,0.40296833475075905,-0.04491776974233602,-81.32941570603232,Reduced
4589,0.07458482321402278,0.1038650243640606,0.02928020115003782,-80.11865369444538,Reduced
6496,0.037338711364733594,0.10137550094969942,0.06403678958496584,-79.84981622813324,Reduced
1589,0.18766289618513546,0.15682696571571733,-0.030835930469418127,-79.75284335522655,Reduced
874,0.17969222983853986,0.13718119831238101,-0.04251103152615884,-78.68859425155881,Reduced
8165,0.386841218553314,0.3028345326744513,-0.08400668587886267,-77.63885234546379,Reduced
6253,0.35856701809348873,0.15077115777520758,-0.20779586031828115,-76.28330207985955,Reduced
6437,0.3049789020434554,0.3382479227709651,0.0332690207275097,-75.48092257069136,Reduced
5774,0.7604953463196387,0.5433250574909926,-0.21717028882864609,-75.29503426346537,Reduced
3614,0.5091922162919984,0.40969458106413875,-0.09949763522785965,-73.55597762385446,Reduced
3394,0.06597091954522613,0.11274941924116173,0.0467784996959356,-73.01863935438983,Reduced
2714,0.1464786557566192,0.5095787617720632,0.36310010601544396,-71.94890910804155,Reduced
3708,0.2646611680514078,0.3330176408681836,0.06835647281677576,-71.83272530561624,Reduced
6873,0.37323362915579783,0.18620250800339183,-0.187031121152406,-71.54871004350547,Reduced
1209,0.7113658178097468,1.1067156511949343,0.3953498333851875,-71.12175666341953,Reduced
2475,0.3885931301647699,0.3261901364421386,-0.06240299372263125,-69.2366504798774,Reduced
3639,0.2002726607458158,0.21315055325587132,0.012877892510055527,-69.184028886165,Reduced
4961,0.648386374121794,0.4615793249757097,-0.18680704914608431,-67.31870150679984,Reduced
7761,0.6177050024478251,0.6767313674017987,0.05902636495397362,-66.95025438897092,Reduced
2642,0.49200598570447646,0.422818449464018,-0.06918753624045848,-66.03942388789167,Reduced
3611,0.40094252201024955,0.33584900856154964,-0.0650935134486999,-65.89642152373617,Reduced
8386,0.3107480031881138,0.31691473078473953,0.006166727596625732,-64.73934601948699,Reduced
3996,0.17913216194875303,0.11127933739429549,-0.06785282455445754,-64.43859439681809,Reduced
6282,0.5258753243940075,0.5604890762076711,0.03461375181366355,-64.03428408846202,Reduced
389,0.6963499154766883,0.7654016372299381,0.0690517217532498,-63.90548504288549,Reduced
6967,1.2711864488155658,0.7265116195246221,-0.5446748292909437,-62.840013618646395,Reduced
3954,0.3998427191972673,0.6202247900633121,0.22038207086604478,-62.59089760015537,Reduced
7085,2.1429073382075536,1.63297402514462,-0.5099333130629335,-61.247902732649216,Reduced
1037,0.16945776715389607,0.14543526575880958,-0.024022501395086493,-60.57119266250477,Reduced
5835,0.3300656524897963,0.3228202549589831,-0.0072453975308132135,-60.28017635719788,Reduced
18,0.8692566333858056,0.45964414526683683,-0.4096124881189688,-58.78952342108763,Reduced
62,0.30870744828141816,0.45123076136576584,0.14252331308434768,-58.31742233510431,Reduced
1626,0.3906522282376101,0.24683684965774588,-0.1438153785798642,-58.14697999529168,Reduced
1430,0.9495112709555298,0.9427665715885587,-0.006744699366971085,-57.8870098936281,Reduced
2919,1.0484052830525585,1.0882660338192498,0.039860750766691266,-57.44292100953101,Reduced
1672,1.0770035471471102,0.9167027678091042,-0.16030077933800602,-56.5498686353655,Reduced
2385,0.5811410415231918,1.001465027341574,0.42032398581838215,-56.31185785833974,Reduced
6244,0.7219639185689162,0.6406461637542313,-0.08131775481468484,-55.776978946972775,Reduced
2925,0.32645278909096387,0.19486619840681907,-0.1315865906841448,-55.40059228499092,Reduced
3631,0.6874964079371667,0.5607307113405616,-0.12676569659660508,-54.83239052976814,Reduced
5790,0.5977315413450378,0.6217006656506866,0.023969124305648792,-54.45138715022486,Reduced
2015,0.2783269795309522,0.1986038877943951,-0.07972309173655709,-54.422700095661504,Reduced
1811,0.4249274733967539,0.3424073997301477,-0.08252007366660619,-54.375754173576766,Reduced
3987,0.1614952835590385,0.10792520696680306,-0.053570076592235435,-54.22008875028352,Reduced
466,0.2904032991203818,0.22207623259089906,-0.06832706652948276,-53.58841823837377,Reduced
6635,0.2937684859380459,0.3494637764698046,0.0556952905317587,-53.50754580621031,Reduced
1831,0.6253024540623011,0.309786295019738,-0.31551615904256314,-53.43004550070063,Reduced
3673,0.5298116037803589,0.5055815807354866,-0.024230023044872206,-53.21304118685113,Reduced
6623,0.42240112719411105,0.35485854992501076,-0.06754257726910029,-53.013322967469634,Reduced
207,1.230620359447747,1.098451407221702,-0.13216895222604497,-52.50174769103735,Reduced
565,0.5698266881324996,0.49873396192125274,-0.07109272621124685,-52.21615691539589,Reduced
7293,0.5305560437402043,0.2593103336811022,-0.2712457100591021,-52.122825977784835,Reduced
1679,1.0760227593293692,0.4121725053530332,-0.663850253976336,-51.750076930772046,Reduced
6117,0.43308129346864543,0.5167615349534036,0.08368024148475817,-51.50605797718697,Reduced
